========= 등급유력번호 : V201100033 =========
물성번호 : B201100686
25	.0419	0	.0021	.0021
30	.0986	0	.00493	.00493
35	.15	0	.0075	.0075
40	.195	0	.00975	.00975
45	.245	0	.01225	.01225
50	.299	0	.01495	.01495
55	.352	0	.0176	.0176
60	.407	0	.02035	.02035
65	.452	0	.0226	.0226
70	.485	0	.02425	.02425
75	.526	0	.0263	.0263
80	.556	0	.0278	.0278
85	.584	0	.0292	.0292
90	.606	0	.0303	.0303
95	.622	0	.0311	.0311
100	.64	0	.032	.032
110	.663	0	.03315	.03315
120	.671	0	.03355	.03355
140	.68	0	.034	.034
160	.67	0	.0335	.0335
180	.647	0	.03235	.03235
200	.631	0	.03155	.03155
225	.606	0	.0303	.0303
250	.572	0	.0286	.0286
275	.553	0	.02765	.02765
300	.524	0	.0262	.0262
350	.47	0	.0235	.0235
400	.433	0	.02165	.02165
450	.388	0	.0194	.0194
500	.361	0	.01805	.01805
550	.339	0	.01695	.01695
600	.311	0	.01555	.01555
650	.299	0	.01495	.01495
700	.283	0	.01415	.01415
750	.268	0	.0134	.0134
800	.252	0	.0126	.0126
850	.238	0	.0119	.0119
900	.229	0	.01145	.01145
950	.222	0	.0111	.0111
1000	.209	0	.01045	.01045
